We had a serious talk with some friends of ours who have been flaky lately. They understood and we had a good evening hanging out.,bonding
I meditated last night.,leisure
My grandmother start to walk from the bed after a long time.,affection
I picked my daughter up from the airport and we have a fun and good conversation on the way home.,bonding
when i received flowers from my best friend,bonding
I went shopping,leisure
The phone that I have ordered in a local online store was delivered this morning. I like the phone so much!,enjoy_the_moment
I bought a new TV,achievement
I slow cooked a chuck roast on my stove that came out great.,achievement
I lost 2 kgs of weight after a month long effort I had put to achieve it.,achievement
i finally learned to cook chicken,achievement
INDIA WON THE SERIES AGAINST AUSTRALIA MADE ME TO FEEL HAPPY,enjoy_the_moment
My son results is today its got very good he scored 99% in school its so happy to see the results,affection
My family went to a wildlife park. It was so beautiful.,affection
A made quite the progress on an old rusty workbench I am restoring at the moment. With the new paint it looks like new.,achievement
Getting all my errands done and completed.,achievement
I finally mastered how to make crispy tofu.,achievement
After 3 long weeks of deep snow covered ground we finally had enough warm days in the Northeast for the snow to melt and I was able to start my day with a fantastic hike up the Appalachian trail that runs nearby my home. I felt as though my entire life suddenly came back into balance after being held back for weeks due to the enormous amount of snowfall :),nature
My husband says me 'I love u ' when i woke up in the morning.,affection
I ate some peanut butter M&Ms while watching John Oliver. They were delicious and he was hilarious.,enjoy_the_moment
I was able to play my video game that I enjoy the most quite a bit and that made me relaxed and happy.,leisure
I enjoyed play Soccer with my brother,affection
I went to lunch with my girlfriend and her family,affection
"My wife told me that despite my having lost overtime hours, she is happy to have me around her more.",affection
I cooked food for my mother-in-law.  And she liked it too,affection
My mother-in-law offered me money so I could buy some yogurt I can't afford to buy by myself.,affection
I finally decorated my son's room for his birthday.,affection
"I traveled with my family and went to a beautiful beach, I enjoyed most of the attraction in the area, there's 
entertainers everywhere and a lot of people are gathering with music bands partying. It was a pleasant experience and I
 hope to return there anytime soon.",affection
"The weather is very sultry in our place, our AC unit was damaged by rodents. The Electrician came earlier today and repaired it. Thank God, I need not sweat today.",nature
I celebrated my 7th wedding anniversary with my wife.,affection
My wife wear her favorite saree for office meeting.,affection
I played tennis with my friends,bonding
My daughter visited me at evening,affection
I measured my weight and found to be 1 pound lesser than the earlier day,achievement
"While buying medicine from a regular pharmacy store, I came to know that I had some unused points from my old purchases, so I did not have to pay anything for medicine I bought.",enjoy_the_moment
Find a new job,achievement
When me and my wife shared pleasures. Both of us were very happy.,affection
"I got up very early, before daylight, and went outside to fly one of my RC quadcopters which is equipped with LED lights. While the lights make it very easy to see and orient the quadcopter, it is still somewhat difficult to see trees and other obstructions in my yard.  I was able to fly for just over 10 minutes all around my yard, over my home and our over my neighbor's yard (I have permission).  Flying in total darkness is challenging and super fun.",achievement
My husband bought my favourite sweet that really made me very happy,affection
My husband made me my favorite food for dinner.,affection
all are happy because of me for solving the major issue,achievement
